userId;session;analysis;cube;nb queries;contribution
I050582;6E57DFAF22DEAFFF71E05042468DF4345BE90E1A1E8635B70473AD397FDA2463;9;Airports;7;1-6
I050648;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;9;Airports;3;0-2
I051069;04783A9FA13A5107A707975156C09CDD483F122F3A844AA3AC925CB6EC0BD0B7;9;Airports;1;-
I051069;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;9;Airports;8;0, 2
I051430;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;9;Airports;13;2-3, 5-8, 10-12
I051892;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;9;Airports;6;1, 3-4
I051911;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;9;Airports;4;0, 2-3
I301280;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;9;Airports;8;0-6
I316785;04783A9FA13A5107A707975156C09CDD483F122F3A844AA3AC925CB6EC0BD0B7;9;Airports;4;1, 2-3
a;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;10;Economy;6;0-5
I050582;6E57DFAF22DEAFFF71E05042468DF4345BE90E1A1E8635B70473AD397FDA2463;10;Economy;4;0-3
I050648;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;10;Economy;3;1-2
I051069;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;10;Economy;8;0-1, 6
I051430;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;10;Economy;7;3-4, 6
I051892;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;10;Economy;3;-
I051911;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;10;Economy;7;0, 3, 6
I301280;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;10;Economy;9;0, 4, 6-8
I316785;04783A9FA13A5107A707975156C09CDD483F122F3A844AA3AC925CB6EC0BD0B7;10;Economy;4;1-2
a;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;11;Economy;1;-
I050582;6E57DFAF22DEAFFF71E05042468DF4345BE90E1A1E8635B70473AD397FDA2463;11;Economy;4;0-2
I050648;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;11;Economy;9;2, 5, 7
I051069;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;11;Economy;3;0, 2
I051430;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;11;Economy;2;0-1
I051892;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;11;Economy;2;0
I051911;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;11;Economy;2;0-1
I301280;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;11;Economy;1;-
I316785;04783A9FA13A5107A707975156C09CDD483F122F3A844AA3AC925CB6EC0BD0B7;11;Economy;2;0-1
a;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;12;Airports;6;4-5
I050582;6E57DFAF22DEAFFF71E05042468DF4345BE90E1A1E8635B70473AD397FDA2463;12;Airports;10;0, 2-4, 8-9
I050648;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;12;Airports;5;0-4
I051069;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;12;Airports;3;0-2
I051430;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;12;Airports;8;0-1, 6-7
I051911;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;12;Airports;5;2-3
I301280;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;12;Airports;4;1
I316785;04783A9FA13A5107A707975156C09CDD483F122F3A844AA3AC925CB6EC0BD0B7;12;Airports;8;0-3
