323,ASIA,CHINA,CHINA    9
324,AMERICA,BRAZIL,BRAZIL   8
325,AFRICA,MOROCCO,MOROCCO  5
326,AMERICA,BRAZIL,BRAZIL   3
327,ASIA,INDIA,INDIA    7
328,AFRICA,ETHIOPIA,ETHIOPIA 9
329,MIDDLE EAST,IRAQ,IRAQ     9
330,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA5
331,AFRICA,ETHIOPIA,ETHIOPIA 1
332,EUROPE,RUSSIA,RUSSIA   3
333,MIDDLE EAST,IRAQ,IRAQ     1
334,MIDDLE EAST,EGYPT,EGYPT    7
335,ASIA,VIETNAM,VIETNAM  5
336,AMERICA,BRAZIL,BRAZIL   4
337,AFRICA,ALGERIA,ALGERIA  2
338,EUROPE,UNITED KINGDOM,UNITED KI6
339,AMERICA,UNITED STATES,UNITED ST2
340,AMERICA,BRAZIL,BRAZIL   2
341,ASIA,INDONESIA,INDONESIA3
342,ASIA,CHINA,CHINA    7
343,AMERICA,CANADA,CANADA   5
344,AMERICA,BRAZIL,BRAZIL   1
345,ASIA,INDONESIA,INDONESIA3
346,AMERICA,BRAZIL,BRAZIL   7
347,AMERICA,ARGENTINA,ARGENTINA9
348,MIDDLE EAST,JORDAN,JORDAN   9
349,EUROPE,UNITED KINGDOM,UNITED KI9
350,AFRICA,MOROCCO,MOROCCO  6
351,EUROPE,GERMANY,GERMANY  2
352,ASIA,INDONESIA,INDONESIA9
353,MIDDLE EAST,IRAN,IRAN     0
354,AMERICA,BRAZIL,BRAZIL   3
355,AFRICA,KENYA,KENYA    8
356,MIDDLE EAST,IRAN,IRAN     5
357,ASIA,CHINA,CHINA    1
358,AFRICA,ETHIOPIA,ETHIOPIA 2
359,AFRICA,KENYA,KENYA    6
360,AMERICA,PERU,PERU     1
361,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA7
362,AMERICA,PERU,PERU     6
363,AMERICA,PERU,PERU     0
364,EUROPE,UNITED KINGDOM,UNITED KI6
365,AMERICA,UNITED STATES,UNITED ST6
366,AMERICA,CANADA,CANADA   8
367,MIDDLE EAST,JORDAN,JORDAN   6
368,EUROPE,RUSSIA,RUSSIA   3
369,ASIA,INDIA,INDIA    9
370,ASIA,JAPAN,JAPAN    3
371,EUROPE,RUSSIA,RUSSIA   0
372,EUROPE,ROMANIA,ROMANIA  2
373,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA1
374,EUROPE,RUSSIA,RUSSIA   6
375,AFRICA,MOROCCO,MOROCCO  3
376,AFRICA,MOZAMBIQUE,MOZAMBIQU5
377,EUROPE,UNITED KINGDOM,UNITED KI8
378,EUROPE,RUSSIA,RUSSIA   6
379,EUROPE,GERMANY,GERMANY  6
380,ASIA,VIETNAM,VIETNAM  0
381,AFRICA,ETHIOPIA,ETHIOPIA 9
382,ASIA,INDIA,INDIA    8
383,AMERICA,BRAZIL,BRAZIL   9
384,ASIA,INDONESIA,INDONESIA0
385,AMERICA,CANADA,CANADA   8
386,AMERICA,UNITED STATES,UNITED ST5
387,ASIA,CHINA,CHINA    0
388,EUROPE,GERMANY,GERMANY  8
389,ASIA,INDONESIA,INDONESIA7
390,MIDDLE EAST,EGYPT,EGYPT    8
391,MIDDLE EAST,IRAQ,IRAQ     8
392,AMERICA,PERU,PERU     0
393,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA8
394,EUROPE,UNITED KINGDOM,UNITED KI5
395,AFRICA,MOROCCO,MOROCCO  5
396,EUROPE,RUSSIA,RUSSIA   9
397,EUROPE,GERMANY,GERMANY  4
398,AFRICA,MOROCCO,MOROCCO  5
399,ASIA,INDIA,INDIA    1
400,AFRICA,KENYA,KENYA    1
401,EUROPE,ROMANIA,ROMANIA  8
402,EUROPE,FRANCE,FRANCE   8
403,AFRICA,KENYA,KENYA    6
404,EUROPE,RUSSIA,RUSSIA   8
405,MIDDLE EAST,IRAN,IRAN     9
406,ASIA,INDONESIA,INDONESIA3
407,AMERICA,ARGENTINA,ARGENTINA6
408,MIDDLE EAST,IRAN,IRAN     9
409,MIDDLE EAST,IRAQ,IRAQ     4
410,EUROPE,GERMANY,GERMANY  9
411,ASIA,CHINA,CHINA    3
412,EUROPE,RUSSIA,RUSSIA   2
413,EUROPE,FRANCE,FRANCE   1
414,EUROPE,ROMANIA,ROMANIA  2
415,EUROPE,UNITED KINGDOM,UNITED KI9
416,ASIA,JAPAN,JAPAN    0
417,MIDDLE EAST,IRAQ,IRAQ     9
418,AFRICA,ETHIOPIA,ETHIOPIA 7
419,AFRICA,MOZAMBIQUE,MOZAMBIQU1
420,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA3
421,MIDDLE EAST,JORDAN,JORDAN   2
422,ASIA,INDONESIA,INDONESIA1
423,MIDDLE EAST,JORDAN,JORDAN   2
424,EUROPE,ROMANIA,ROMANIA  1
425,AFRICA,MOZAMBIQUE,MOZAMBIQU4
426,EUROPE,ROMANIA,ROMANIA  1
427,AMERICA,BRAZIL,BRAZIL   0
428,ASIA,VIETNAM,VIETNAM  2
429,AFRICA,MOROCCO,MOROCCO  6
430,AMERICA,CANADA,CANADA   6
431,EUROPE,FRANCE,FRANCE   3
432,EUROPE,UNITED KINGDOM,UNITED KI2
433,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA3
434,AMERICA,CANADA,CANADA   2
435,AMERICA,BRAZIL,BRAZIL   7
436,EUROPE,ROMANIA,ROMANIA  5
437,MIDDLE EAST,EGYPT,EGYPT    0
438,EUROPE,UNITED KINGDOM,UNITED KI7
439,AFRICA,KENYA,KENYA    0
440,AMERICA,CANADA,CANADA   6
441,EUROPE,UNITED KINGDOM,UNITED KI3
442,AMERICA,ARGENTINA,ARGENTINA6
443,AMERICA,CANADA,CANADA   4
444,AMERICA,ARGENTINA,ARGENTINA5
445,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA6
446,AMERICA,UNITED STATES,UNITED ST5
447,AMERICA,CANADA,CANADA   8
448,AMERICA,UNITED STATES,UNITED ST0
449,MIDDLE EAST,EGYPT,EGYPT    7
450,ASIA,INDONESIA,INDONESIA9
451,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA3
452,EUROPE,FRANCE,FRANCE   3
453,ASIA,INDIA,INDIA    8
454,EUROPE,GERMANY,GERMANY  6
455,EUROPE,FRANCE,FRANCE   5
456,AFRICA,ALGERIA,ALGERIA  3
457,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA6
458,MIDDLE EAST,EGYPT,EGYPT    9
459,EUROPE,FRANCE,FRANCE   2
460,MIDDLE EAST,IRAQ,IRAQ     6
461,ASIA,VIETNAM,VIETNAM  3
462,ASIA,VIETNAM,VIETNAM  7
463,ASIA,INDIA,INDIA    4
464,ASIA,INDONESIA,INDONESIA6
465,AMERICA,BRAZIL,BRAZIL   3
466,ASIA,JAPAN,JAPAN    1
467,MIDDLE EAST,IRAQ,IRAQ     0
468,MIDDLE EAST,IRAN,IRAN     2
469,ASIA,JAPAN,JAPAN    1
470,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA0
471,MIDDLE EAST,EGYPT,EGYPT    6
472,ASIA,JAPAN,JAPAN    2
473,ASIA,INDONESIA,INDONESIA9
474,ASIA,VIETNAM,VIETNAM  9
475,AFRICA,KENYA,KENYA    3
476,AMERICA,BRAZIL,BRAZIL   5
477,EUROPE,UNITED KINGDOM,UNITED KI3
478,AMERICA,ARGENTINA,ARGENTINA4
479,ASIA,CHINA,CHINA    9
480,EUROPE,GERMANY,GERMANY  3
481,ASIA,VIETNAM,VIETNAM  1
482,MIDDLE EAST,JORDAN,JORDAN   7
483,MIDDLE EAST,IRAQ,IRAQ     4
484,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA6
485,EUROPE,ROMANIA,ROMANIA  1
486,ASIA,VIETNAM,VIETNAM  8
487,AMERICA,BRAZIL,BRAZIL   1
488,AMERICA,CANADA,CANADA   0
489,MIDDLE EAST,EGYPT,EGYPT    3
490,EUROPE,RUSSIA,RUSSIA   8
491,AFRICA,ALGERIA,ALGERIA  4
492,ASIA,INDIA,INDIA    9
493,AFRICA,MOZAMBIQUE,MOZAMBIQU3
494,MIDDLE EAST,IRAN,IRAN     4
495,EUROPE,GERMANY,GERMANY  1
496,ASIA,JAPAN,JAPAN    6
497,EUROPE,UNITED KINGDOM,UNITED KI1
498,EUROPE,ROMANIA,ROMANIA  1
499,AFRICA,KENYA,KENYA    6
500,MIDDLE EAST,EGYPT,EGYPT    6
501,MIDDLE EAST,JORDAN,JORDAN   1
502,MIDDLE EAST,IRAQ,IRAQ     1
503,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA0
504,MIDDLE EAST,IRAN,IRAN     4
505,AMERICA,BRAZIL,BRAZIL   2
506,MIDDLE EAST,JORDAN,JORDAN   9
507,AFRICA,KENYA,KENYA    5
508,ASIA,CHINA,CHINA    0
509,MIDDLE EAST,EGYPT,EGYPT    6
510,AFRICA,ETHIOPIA,ETHIOPIA 9
511,MIDDLE EAST,JORDAN,JORDAN   8
512,AMERICA,BRAZIL,BRAZIL   6
513,AMERICA,ARGENTINA,ARGENTINA3
514,EUROPE,UNITED KINGDOM,UNITED KI6
515,AFRICA,MOROCCO,MOROCCO  9
516,EUROPE,FRANCE,FRANCE   0
517,MIDDLE EAST,IRAN,IRAN     1
518,AMERICA,PERU,PERU     1
519,AFRICA,ETHIOPIA,ETHIOPIA 1
520,AMERICA,CANADA,CANADA   3
521,AMERICA,BRAZIL,BRAZIL   9
522,ASIA,JAPAN,JAPAN    1
523,MIDDLE EAST,IRAN,IRAN     4
524,ASIA,INDONESIA,INDONESIA3
525,EUROPE,ROMANIA,ROMANIA  3
526,AMERICA,ARGENTINA,ARGENTINA1
527,MIDDLE EAST,JORDAN,JORDAN   7
528,AFRICA,MOROCCO,MOROCCO  2
529,AFRICA,MOROCCO,MOROCCO  1
530,MIDDLE EAST,JORDAN,JORDAN   5
531,EUROPE,ROMANIA,ROMANIA  0
532,AFRICA,MOROCCO,MOROCCO  0
533,AFRICA,MOROCCO,MOROCCO  0
534,AMERICA,ARGENTINA,ARGENTINA0
535,AMERICA,BRAZIL,BRAZIL   1
536,ASIA,JAPAN,JAPAN    6
537,MIDDLE EAST,IRAN,IRAN     1
538,EUROPE,ROMANIA,ROMANIA  5
539,EUROPE,FRANCE,FRANCE   5
540,AFRICA,MOZAMBIQUE,MOZAMBIQU4
541,AFRICA,ALGERIA,ALGERIA  0
542,AFRICA,MOZAMBIQUE,MOZAMBIQU6
543,AMERICA,PERU,PERU     0
544,AFRICA,ETHIOPIA,ETHIOPIA 2
545,MIDDLE EAST,IRAN,IRAN     6
546,EUROPE,ROMANIA,ROMANIA  2
547,EUROPE,RUSSIA,RUSSIA   8
548,MIDDLE EAST,EGYPT,EGYPT    3
549,AMERICA,UNITED STATES,UNITED ST8
550,AMERICA,PERU,PERU     2
551,AFRICA,MOROCCO,MOROCCO  5
552,AMERICA,BRAZIL,BRAZIL   4
553,MIDDLE EAST,EGYPT,EGYPT    9
554,AMERICA,BRAZIL,BRAZIL   4
555,AFRICA,MOROCCO,MOROCCO  0
556,AMERICA,ARGENTINA,ARGENTINA0
557,AFRICA,MOROCCO,MOROCCO  9
558,AMERICA,PERU,PERU     8
559,EUROPE,GERMANY,GERMANY  5
560,EUROPE,ROMANIA,ROMANIA  6
561,ASIA,CHINA,CHINA    8
562,AFRICA,MOROCCO,MOROCCO  4
563,ASIA,JAPAN,JAPAN    3
564,MIDDLE EAST,EGYPT,EGYPT    9
565,MIDDLE EAST,EGYPT,EGYPT    7
566,AMERICA,UNITED STATES,UNITED ST6
567,ASIA,VIETNAM,VIETNAM  8
568,MIDDLE EAST,JORDAN,JORDAN   5
569,AMERICA,BRAZIL,BRAZIL   9
570,AFRICA,MOROCCO,MOROCCO  8
571,AMERICA,BRAZIL,BRAZIL   2
572,MIDDLE EAST,IRAQ,IRAQ     6
573,MIDDLE EAST,EGYPT,EGYPT    4
574,ASIA,INDIA,INDIA    8
575,AMERICA,ARGENTINA,ARGENTINA3
576,AMERICA,ARGENTINA,ARGENTINA6
577,AFRICA,KENYA,KENYA    5
578,AFRICA,KENYA,KENYA    8
579,AFRICA,ALGERIA,ALGERIA  9
580,MIDDLE EAST,IRAQ,IRAQ     9
581,AMERICA,UNITED STATES,UNITED ST7
582,AMERICA,CANADA,CANADA   8
583,MIDDLE EAST,JORDAN,JORDAN   0
584,AFRICA,MOROCCO,MOROCCO  8
585,AFRICA,MOZAMBIQUE,MOZAMBIQU3
